url,class,Strength,Intelligence,Willpower,Agility,Speed,Endurance,Personality,Luck
https://www.elderstats.com/character/87,Bard,40,45,35,49,64,40,65,60
https://www.elderstats.com/character/89,Thief,,,,,,,,
https://www.elderstats.com/character/91,Bard,,,,,,,,
https://www.elderstats.com/character/93,Spellsword,,,,,,,,
https://www.elderstats.com/character/94,,110,100,100,100,110,100,100,79
https://www.elderstats.com/character/95,,63,80,60,64,73,96,45,51
https://www.elderstats.com/character/97,,,,,,,,,
https://www.elderstats.com/character/98,,45,64,55,40,46,32,40,56
https://www.elderstats.com/character/99,,,,,,,,,
https://www.elderstats.com/character/102,Mage,,,,,,,,
https://www.elderstats.com/character/103,,108,96,96,77,93,88,91,71
https://www.elderstats.com/character/104,,59,96,67,67,63,53,84,56
https://www.elderstats.com/character/106,Agent,105,48,54,61,105,85,49,50
https://www.elderstats.com/character/107,Assassin,115,100,100,100,110,100,77,67
https://www.elderstats.com/character/108,,63,36,35,39,40,61,30,50
https://www.elderstats.com/character/109,,,,,,,,,
https://www.elderstats.com/character/111,,117,117,110,127,125,120,98,102
https://www.elderstats.com/character/112,,70,60,45,40,50,80,30,50
https://www.elderstats.com/character/113,,100,100,100,100,100,100,85,66
https://www.elderstats.com/character/114,Warrior,,,,,,,,
https://www.elderstats.com/character/115,,,,,,,,,
https://www.elderstats.com/character/117,Mage,59,66,56,47,43,52,56,50
https://www.elderstats.com/character/132,,,,,,,,,
https://www.elderstats.com/character/133,Knight,,,,,,,,
https://www.elderstats.com/character/136,Barbarian,75,75,85,100,100,85,50,50
https://www.elderstats.com/character/137,,122,93,83,123,75,128,78,87
https://www.elderstats.com/character/138,,74,45,34,40,50,95,30,57
https://www.elderstats.com/character/139,Knight,,,,,,,,
https://www.elderstats.com/character/140,,40,60,55,40,40,30,40,40
https://www.elderstats.com/character/141,,,,,,,,,
https://www.elderstats.com/character/143,,99,72,43,94,98,67,63,58
https://www.elderstats.com/character/146,Nightblade,92,85,83,100,82,100,72,70
https://www.elderstats.com/character/147,,,,,,,,,
https://www.elderstats.com/character/148,Scout,82,76,58,60,78,70,52,50
https://www.elderstats.com/character/149,Crusader,102,112,95,83,80,86,69,56
https://www.elderstats.com/character/150,Knight,100,56,47,52,62,100,50,50
https://www.elderstats.com/character/153,,89,42,37,94,106,42,44,50
https://www.elderstats.com/character/154,Knight,93,60,42,90,90,100,50,50
https://www.elderstats.com/character/155,,223,188,183,174,156,128,33,92
https://www.elderstats.com/character/156,,,,,,,,,
https://www.elderstats.com/character/158,Mage,30,100,100,50,50,42,57,50
https://www.elderstats.com/character/159,,92,89,98,100,100,98,99,61
https://www.elderstats.com/character/160,,,,,,,,,
https://www.elderstats.com/character/161,,,,,,,,,
https://www.elderstats.com/character/162,,,,,,,,,
https://www.elderstats.com/character/163,Witchhunter,,,,,,,,
https://www.elderstats.com/character/164,Thief,,,,,,,,
https://www.elderstats.com/character/168,Warrior,83,41,43,44,40,100,30,50
https://www.elderstats.com/character/169,,78,73,80,47,67,90,55,50
https://www.elderstats.com/character/170,,110,83,100,42,101,105,86,75
https://www.elderstats.com/character/171,Spellsword,66,61,66,56,72,71,47,50
https://www.elderstats.com/character/173,Bard,47,81,52,51,58,63,40,79
https://www.elderstats.com/character/174,,64,44,42,72,87,50,50,60
https://www.elderstats.com/character/175,Warrior,100,100,100,86,78,100,61,61
https://www.elderstats.com/character/179,,65,42,40,47,34,67,50,50
https://www.elderstats.com/character/180,,66,60,78,50,57,50,59,50
https://www.elderstats.com/character/181,,106,59,43,45,51,97,50,50
https://www.elderstats.com/character/182,Rogue,30,47,35,71,50,40,53,60
https://www.elderstats.com/character/183,,30,55,53,45,35,55,40,50
https://www.elderstats.com/character/184,,64,40,55,40,51,67,62,56
https://www.elderstats.com/character/185,,44,52,40,39,92,49,54,55
https://www.elderstats.com/character/186,Mage,32,78,89,41,53,42,61,50
https://www.elderstats.com/character/187,Mage,40,108,100,38,46,41,55,50
https://www.elderstats.com/character/189,Warrior,110,52,44,56,57,100,40,50
https://www.elderstats.com/character/192,Assassin,,,,,,,,
https://www.elderstats.com/character/193,,,,,,,,,
https://www.elderstats.com/character/194,,89,42,30,100,100,51,68,40
https://www.elderstats.com/character/195,,,,,,,,,
https://www.elderstats.com/character/197,,40,50,30,50,40,37,45,50
https://www.elderstats.com/character/198,Archer,79,81,80,72,61,61,52,60
https://www.elderstats.com/character/199,,96,56,42,100,100,99,100,100
https://www.elderstats.com/character/201,Archer,61,66,63,61,53,50,50,60
https://www.elderstats.com/character/202,,70,97,80,67,67,82,70,56
https://www.elderstats.com/character/203,Mage,30,100,100,40,96,30,96,62
https://www.elderstats.com/character/204,Archer,210,304,122,97,80,103,101,84
https://www.elderstats.com/character/205,,73,,,,43,72,,
https://www.elderstats.com/character/208,Barbarian,,,,,,,,
https://www.elderstats.com/character/209,,100,110,100,100,100,100,100,75
https://www.elderstats.com/character/210,,100,100,100,96,100,100,100,79
https://www.elderstats.com/character/211,Warrior,,,,,,,,
https://www.elderstats.com/character/212,Knight,,,,,,,,
https://www.elderstats.com/character/213,Acrobat,100,38,55,85,100,100,30,68
https://www.elderstats.com/character/214,Mage,,,,,,,,
https://www.elderstats.com/character/215,Knight,,,,,,,,
https://www.elderstats.com/character/216,,100,100,83,94,100,100,50,60
https://www.elderstats.com/character/217,,,,,,,,,
https://www.elderstats.com/character/218,,77,55,31,30,50,75,50,51
https://www.elderstats.com/character/219,Agent,90,80,58,110,110,67,70,65
https://www.elderstats.com/character/220,Knight,,,,,,,,
https://www.elderstats.com/character/222,Sorcerer,,,,,,,,
https://www.elderstats.com/character/224,Pilgrim,118,40,57,42,61,107,72,55
https://www.elderstats.com/character/226,Pilgrim,99,73,84,86,75,97,102,66
https://www.elderstats.com/character/227,Thief,,,,,,,,
https://www.elderstats.com/character/228,Witchhunter,,,,,,,,
https://www.elderstats.com/character/230,,78,100,30,82,100,58,30,70
https://www.elderstats.com/character/231,,60,68,81,100,100,59,50,74
https://www.elderstats.com/character/233,,82,69,73,86,100,79,75,62
https://www.elderstats.com/character/235,Mage,110,100,100,100,110,100,100,100
https://www.elderstats.com/character/236,Mage,100,100,100,110,110,100,100,100
https://www.elderstats.com/character/237,Battlemage,,,,,,,,
https://www.elderstats.com/character/238,Sorcerer,,79,,,,,,
https://www.elderstats.com/character/240,,100,66,63,71,75,90,60,55
https://www.elderstats.com/character/241,Archer,71,66,66,100,94,64,54,60
https://www.elderstats.com/character/242,Barbarian,,,,,,,,
https://www.elderstats.com/character/244,,40,50,35,50,60,45,30,65
https://www.elderstats.com/character/245,Acrobat,69,65,62,64,61,69,61,62
https://www.elderstats.com/character/246,,49,100,58,53,65,48,47,50
https://www.elderstats.com/character/248,Mage,,,,,,,,
https://www.elderstats.com/character/249,Crusader,63,41,36,40,50,63,30,50
https://www.elderstats.com/character/250,,120,100,120,100,120,100,100,71
https://www.elderstats.com/character/251,Assassin,,,,,,,,
https://www.elderstats.com/character/252,Thief,81,79,40,100,100,45,39,50
https://www.elderstats.com/character/253,Spellsword,,,,,,,,
https://www.elderstats.com/character/254,Bard,,,,,,,,
https://www.elderstats.com/character/255,Assassin,120,99,106,100,120,100,84,60
https://www.elderstats.com/character/256,,120,100,120,100,120,100,100,66
https://www.elderstats.com/character/257,Spellsword,100,100,100,51,49,100,53,50
https://www.elderstats.com/character/259,Mage,30,71,68,30,40,38,44,50
https://www.elderstats.com/character/260,,40,50,50,30,30,35,40,55
https://www.elderstats.com/character/263,Mage,37,100,100,67,64,46,88,53
https://www.elderstats.com/character/264,,93,77,62,82,79,80,28,60
https://www.elderstats.com/character/265,,30,50,40,40,30,45,40,55
https://www.elderstats.com/character/266,Thief,,,,,,,,
https://www.elderstats.com/character/267,Mage,,,,,,,,
https://www.elderstats.com/character/269,,97,96,92,62,97,100,68,59
https://www.elderstats.com/character/270,Agent,,,,,,,,
https://www.elderstats.com/character/271,Assassin,,,,,,,,
https://www.elderstats.com/character/272,Thief,,,,,,,,
https://www.elderstats.com/character/273,,102,53,41,58,71,100,84,50
https://www.elderstats.com/character/274,Knight,,,,,,,,
https://www.elderstats.com/character/275,Knight,,,,,,,,
https://www.elderstats.com/character/276,,,,,,,,,
https://www.elderstats.com/character/277,,,,,,,,,
https://www.elderstats.com/character/278,,97,100,100,100,110,75,100,55
